date,trial_number,p_r,trial_id,total_time,tank,urchin_density,urchin_size,urchin_mass,kelp_in,kelp_out,mortality
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,65,110,249.2,223.7,0
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,69,122,249.2,223.7,0
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,54,67,249.2,223.7,0
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,49,58,249.2,223.7,0
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,49,54,249.2,223.7,0
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,43,31,249.2,223.7,0
2019-07-03,1,p,P7-1,46.18333333,1-BI,7,48,48,249.2,223.7,0
2019-07-03,1,r,R1-1,94.41666667,1-BD,1,87,229,248.6,233.2,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,81,209,249,183.1,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,84,265,249,183.1,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,70,127,249,183.1,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,66,157,249,183.1,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,38,31,249,183.1,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,46,49,249,183.1,0
2019-07-03,1,r,R7-1,94.45,2-BI,7,48,59,249,183.1,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,54,69,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,57,78,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,49,57,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,65,95,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,64,99,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,51,57,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,53,64,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,57,79,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,57,83,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,53,75,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,50,46,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,50,47,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,68,126,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,57,76,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,49,50,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,44,43,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,42,40,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,65,94,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,56,76,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,51,51,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,39,25,249.8,199.5,0
2019-07-03,1,p,P22-1,46.23333333,2-BD,22,46,42,249.8,199.5,0
2019-07-03,1,p,P3-1,46.91666667,3-BI,3,69,137,250.3,229.6,0
2019-07-03,1,p,P3-1,46.91666667,3-BI,3,46,42,250.3,229.6,0
2019-07-03,1,p,P3-1,46.91666667,3-BI,3,68,122,250.3,229.6,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,44,36,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,54,65,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,55,68,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,65,110,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,56,72,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,58,74,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,49,39,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,62,77,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,61,87,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,56,74,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,48,43,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,53,63,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,43,31,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,51,50,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,57,71,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,37,25,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,44,37,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,51,51,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,38,23,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,54,71,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,69,117,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,37,23,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,54,58,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,53,57,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,53,51,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,48,37,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,50,57,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,69,127,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,61,93,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,60,97,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,56,73,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,52,62,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,44,40,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,49,47,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,44,37,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,66,110,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,48,48,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,61,101,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,47,43,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,37,19,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,60,101,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,62,120,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,49,42,250.5,165.1,0
2019-07-03,1,p,P44-1,46.71666667,3-BD,44,56,82,250.5,165.1,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,68,140,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,81,241,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,70,182,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,73,179,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,83,269,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,73,171,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,78,241,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,45,41,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,74,210,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,80,246,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,71,136,249.9,135.6,0
2019-07-03,1,r,R12-1,94.56666667,4-BI,12,89,253,249.9,135.6,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,61,111,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,53,62,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,59,88,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,66,116,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,56,74,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,61,87,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,53,59,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,61,92,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,53,57,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,56,74,249.8,243.1,0
2019-07-03,1,p,P11-1,46.93333333,4-BD,11,50,59,249.8,243.1,0
2019-07-03,1,p,P2-1,46.26666667,5-TI,2,53,59,249.6,251.5,0
