YEAR,season,SITE,PLNT_DNS,FRND_DNS,DRY_WT,Dry_CAN_WT,Dry_WC_wt,Dry_SUB_wt,N_blade,C_blade,C_WT,N_WT,elapsed,g_bar_dry,g_barC,g_barN,dry_prod_per_day,C_prod_per_day,N_prod_per_day,f,p,d,c,b,l,dry_wt_lost_as_fronds,dry_wt_lost_as_plants,dry_wt_lost_as_dissolved,dry_wt_lost_as_cut_fronds,dry_wt_lost_as_blades,C_lost_as_fronds,C_lost_as_plants,C_lost_as_dissolved,C_lost_as_cut_fronds,C_lost_as_blades,N_lost_as_fronds,N_lost_as_plants,N_lost_as_dissolved,N_lost_as_cut_fronds,N_lost_as_blades,Mean_TEMP,mean_ambient_N,sfc_par,Subsfc_par,Bottom_par,dry_wt_stD,dry_can_wt_stD,dry_wc_wt_stD,dry_sub_wt_stD,c_blade_stD,n_blade_stD,C_wt_stD,N_wt_stD,plnt_dns_stD,frnd_dns_stD,g_bar_dry_stD,dry_prod_per_day_stD,g_barC_stD,C_prod_per_day_stD,g_barN_stD,N_prod_per_day_stD,f_stD,p_stD,d_stD,c_stD,b_stD,l_stD,dry_wt_lost_as_fronds_stD,dry_wt_lost_as_plants_stD,dry_wt_lost_as_dissolved_stD,dry_wt_lost_as_cut_fronds_stD,dry_wt_lost_as_blades_stD,C_lost_as_fronds_stD,C_lost_as_plants_stD,C_lost_as_dissolved_stD,C_lost_as_cut_fronds_stD,C_lost_as_blades_stD,N_lost_as_fronds_stD,N_lost_as_plants_stD,N_lost_as_dissolved_stD,N_lost_as_cut_fronds_stD,N_lost_as_blades_stD
2002,3-Summer,ABUR,0.194086022,7.197222222,1.136500153,0.65901681,0.340546053,0.136937289,2.559623656,31.05645161,0.332624077,0.024124857,93,0.026563442,0.025285741,0.026234597,0.029902438,0.0084457,0.000625271,0.009301246,0,0.003453827,1.56E-06,0.012806118,0.025562751,0.010378487,0,0.003842199,1.94E-06,0.014234585,0.003096505,0,0.001149509,5.20E-07,0.004263175,0.000220833,0,8.11247E-05,4.25E-08,0.000300563,14.88136152,1.008194119,775.9860379,171.8942639,35.37129249,0.090880615,0.056018406,0.026711664,0.010547181,1.11001339,0.211119726,0.029849955,0.002792126,0.011508288,0.495191778,0.002419912,0.003528695,0.002506892,0.001101881,0.002980576,9.75792E-05,0.001594418,3.58257E-05,0.000147908,5.10E-07,0.000589626,0.001717753,0.00190069,3.86436E-05,0.000347178,6.72E-07,0.001292559,0.000582873,1.09361E-05,9.84971E-05,1.81E-07,0.000417377,4.35387E-05,6.53E-07,9.61E-06,1.56E-08,3.56523E-05
2002,4-Autumn,ABUR,0.128449074,3.911643519,0.564532715,0.308430306,0.166134433,0.089967976,2.619388889,27.34611111,0.143743119,0.012530632,90,0.026197557,0.025439235,0.024788852,0.018844427,0.004730171,0.000409392,0.019768629,0.008187521,0.0033414,0.000130863,0.012304489,0.043732902,0.013447849,0.003893586,0.002455507,0.000102263,0.008814268,0.003473598,0.000992936,0.000640058,2.61067E-05,0.002296989,0.00029892,0.000085493,5.42197E-05,2.33E-06,0.000194358,15.13808056,0.836854313,583.5883236,138.436956,35.69356376,0.053165533,0.031494996,0.0151976,0.008303379,1.036132024,0.231979631,0.014897737,0.001745124,0.008348954,0.310120858,0.005000909,0.003845371,0.00518225,0.00104043,0.005248535,9.22701E-05,0.003822899,0.003152917,0.000165306,4.68447E-05,0.000557226,0.005030299,0.003116951,0.002075646,0.000270887,3.69468E-05,0.000925955,0.000816235,0.000531321,0.000063099,9.42E-06,0.00025686,7.57369E-05,4.69539E-05,8.12E-06,9.24E-07,2.83605E-05
2003,1-Winter,ABUR,0.016853933,0.864957865,0.127838939,0.065163597,0.040392512,0.022282829,2.266460674,28.78460674,0.035791065,0.002309036,89,0.046261866,0.047756091,0.046660772,0.006588649,0.001862393,0.000122334,0.021166931,0.012907443,0.003036259,0,0.012322536,0.049433168,0.003373607,0.002299588,0.000459374,0,0.0018598,0.000920718,0.000598583,0.000124415,0,0.000503513,6.24536E-05,4.34894E-05,8.38E-06,0,3.38438E-05,14.47292369,1.955000386,585.2626975,120.5130841,16.56544731,0.019292833,0.010885717,0.005882975,0.003462151,1.068667448,0.189726914,0.005682906,0.000390761,0.001364803,0.104704913,0.006428393,0.001472381,0.006494468,0.000413347,0.006789538,2.98153E-05,0.003245437,0.004543989,0.000137305,0,0.00054522,0.005654783,0.000667445,0.000904568,6.00667E-05,0,0.000243711,0.000186298,0.000232816,1.59668E-05,0,6.88336E-05,1.33262E-05,1.74589E-05,1.25E-06,0,5.08E-06
2003,2-Spring,ABUR,0.028718638,0.8546819,0.097443381,0.04108151,0.035515585,0.020846286,3.443763441,33.20392473,0.030124769,0.002644341,93,0.033356654,0.034731027,0.035503543,0.003929859,0.001216298,0.000104357,0.016307937,0.008717852,0.003046086,0,0.011947746,0.040019621,0.002177276,0.001022944,0.000346126,0,0.001345975,0.000646887,0.000306479,0.00010434,0,0.000407457,4.92716E-05,2.45948E-05,8.56E-06,0,3.33986E-05,12.86986514,5.526717897,800.4760154,166.0580299,25.41101054,0.01301136,0.006501057,0.005052083,0.002485324,1.161203039,0.315343428,0.004234548,0.000448719,0.0018899,0.090706492,0.005439273,0.000832292,0.005521483,0.000256168,0.005748675,2.26751E-05,0.002999835,0.003388291,0.000149005,0,0.000525605,0.004709087,0.000562696,0.000428198,4.95943E-05,0,0.000183858,0.000167723,0.000127195,0.000014433,0,5.73659E-05,1.29953E-05,1.07126E-05,1.44E-06,0,5.46E-06
2003,3-Summer,ABUR,0.076859319,0.960327061,0.08558898,0.029925912,0.029158219,0.026504849,2.839623656,35.35596774,0.028731595,0.001866801,93,0.028143065,0.028698519,0.028549925,0.002487312,0.00084741,5.24086E-05,0.010615621,0.004544764,0.002551294,0,0.011140694,0.028852373,0.000923814,0.000418775,0.000218747,0,0.000953524,0.000305366,0.000140604,7.22754E-05,0,0.000315455,0.000019758,9.14E-06,4.71E-06,0,2.07191E-05,15.10830015,1.077423795,774.2421893,172.3892123,35.80316563,0.007634917,0.004024285,0.002541334,0.002094122,1.191355592,0.245352057,0.002667286,0.000223387,0.003511407,0.057445422,0.00362389,0.000372343,0.003676138,0.000128218,0.003984008,9.64E-06,0.001630701,0.002243038,0.000132709,0,0.000460054,0.002857239,0.000168524,0.000222817,2.65979E-05,0,0.000103106,5.64103E-05,7.53802E-05,8.24E-06,0,3.50552E-05,3.77E-06,4.86E-06,6.34E-07,0,2.53E-06
2003,4-Autumn,ABUR,0.073541667,1.06337963,0.092758952,0.027844942,0.032849665,0.032064345,2.677222222,29.93633333,0.026220925,0.002045903,90,0.035391703,0.032416773,0.036226131,0.003294701,0.000892402,7.55952E-05,0.014964673,0.005965997,0.002246269,0,0.010543731,0.03372067,0.001407005,0.000563188,0.000210683,0,0.000988502,0.000422594,0.00016826,6.30776E-05,0,0.000297352,3.05172E-05,0.000012709,4.66E-06,0,2.18069E-05,15.68034277,0.8726349,584.6069291,138.1023621,35.41430008,0.00922031,0.003618131,0.00322181,0.003047552,1.19061484,0.228593757,0.002685959,0.000259335,0.003900764,0.084727349,0.004559933,0.000529862,0.004571676,0.000156605,0.004820378,0.000013888,0.003003951,0.002624923,0.000117478,0,0.00040822,0.004073835,0.00030765,0.000253463,2.34963E-05,0,9.98316E-05,9.44358E-05,7.68463E-05,6.54E-06,0,3.13847E-05,6.75E-06,5.74E-06,6.11E-07,0,2.69E-06
2004,1-Winter,ABUR,0.028564815,0.47712963,0.050457879,0.020485675,0.018537153,0.011435051,2.743833333,26.73505556,0.013155142,0.001238618,90,0.019566224,0.019387379,0.018430896,0.001918464,0.000502042,0.000046665,0.013946895,0.015112701,0.002784727,0,0.011112614,0.042956937,0.00099424,0.001008006,0.000176722,0,0.000747135,0.000262281,0.000265673,0.000046621,0,0.000197176,2.52392E-05,2.52694E-05,4.46E-06,0,1.89339E-05,13.50112069,2.162625263,584.8592584,120.4094343,16.50107541,0.007509286,0.00416907,0.00248436,0.001397263,0.950653546,0.23525491,0.0020522,0.000232025,0.002025596,0.049299478,0.004917746,0.000545908,0.004997895,0.000147808,0.005300574,1.52729E-05,0.002139683,0.004929717,0.000151804,0,0.000443539,0.005337104,0.000227268,0.000376375,0.000029335,0,0.000108087,6.08583E-05,0.000100171,7.40E-06,0,2.93654E-05,6.36E-06,9.90E-06,8.61E-07,0,3.29E-06
2004,2-Spring,ABUR,0.015277778,0.047871864,0.002092054,0.000214279,0.000267422,0.001610353,2.710591398,26.88586022,0.000532543,4.42756E-05,93,0.02237667,0.023659838,0.025322711,4.82831E-05,1.29629E-05,1.11E-06,0.013441766,0.002087699,0.002654989,0,0.007382094,0.025566548,4.29717E-05,3.74E-06,8.47E-06,0,0.000026588,1.05918E-05,9.32E-07,2.08E-06,0,6.50E-06,8.67E-07,7.88E-08,1.69E-07,0,5.25E-07,14.01185822,2.182562149,798.207962,165.8443085,25.46451961,0.000265257,7.41707E-05,6.79871E-05,0.000214246,1.046814404,0.25542742,6.97635E-05,6.96E-06,0.001122485,0.004109036,0.004652099,9.19E-06,0.004786131,2.46E-06,0.005252385,2.43E-07,0.001942863,0.001251575,0.000169944,0,0.00031612,0.002307784,8.07E-06,2.34E-06,1.33E-06,0,4.50E-06,2.05E-06,5.86E-07,3.17E-07,0,1.15E-06,1.80E-07,5.01E-08,3.09E-08,0,1.05E-07
2004,3-Summer,ABUR,0.133400538,0.539448925,0.026290815,0.003224029,0.004102037,0.018964749,1.782258065,30.65387097,0.007599364,0.000352323,93,0.05805166,0.058834196,0.051672435,0.001040821,0.000300653,1.36235E-05,0.020933633,0.001264663,0.002102373,0,0.005292802,0.029593471,0.000442965,3.83256E-05,4.22655E-05,0,0.000117792,0.00012934,1.11443E-05,1.22362E-05,0,3.40827E-05,6.01E-06,4.92E-07,5.81E-07,0,1.59E-06,15.876858,0.964550596,777.7392053,172.5197947,35.657559,0.002869665,0.000617526,0.000623774,0.002099531,1.128955258,0.151998425,0.000871475,4.89822E-05,0.009111702,0.047515217,0.004472993,0.000146655,0.004519018,4.35119E-05,0.004963462,2.38E-06,0.003499829,0.000965316,0.000105181,0,0.000262059,0.003658966,9.77834E-05,0.000028481,5.31E-06,0,1.45467E-05,2.88101E-05,8.29E-06,1.46E-06,0,4.39E-06,1.41E-06,3.70E-07,8.50E-08,0,2.34E-07
2004,4-Autumn,ABUR,0.145347222,1.228518519,0.088130984,0.018342342,0.030770142,0.0390185,1.516,28.86394444,0.024532796,0.001002597,90,0.036393852,0.035776501,0.037159685,0.002767479,0.000769744,0.000033822,0.015999788,0.002308942,0.002235554,5.96193E-05,0.009186404,0.029790308,0.001238688,0.00014714,0.000174428,6.85E-06,0.000736056,0.00034454,4.03686E-05,4.85787E-05,1.94E-06,0.000204987,1.45671E-05,1.79E-06,2.05E-06,7.82E-08,8.65E-06,16.53237121,0.671568084,586.2585043,137.881428,35.24749716,0.009924761,0.002257552,0.003534075,0.004336723,0.991673046,0.123108529,0.003017821,0.000146508,0.01013945,0.118178864,0.003457166,0.000376461,0.003506348,0.000111626,0.004000072,5.86E-06,0.002527852,0.001235859,0.000112261,1.18522E-05,0.000315864,0.002829177,0.000237765,9.15066E-05,1.94852E-05,1.71E-06,7.77354E-05,6.76193E-05,2.54735E-05,5.20E-06,4.90E-07,2.35804E-05,3.04E-06,1.07E-06,2.93E-07,2.14E-08,1.20E-06
