model,MONTH,Independent_variable,Dependent_variable,slope,intercept,pvalue,rsquare,N
1,1,Frond density (no. m-2) in January,FSC dry (kg m-2) in January,0.07154,0,<.0001,0.96,41
1,2,Frond density (no. m-2) in February,FSC dry (kg m-2) in February,0.07578,0,<.0001,0.94,45
1,3,Frond density (no. m-2) in March,FSC dry (kg m-2) in March,0.0872,0,<.0001,0.95,45
1,4,Frond density (no. m-2) in April,FSC dry (kg m-2) in April,0.09642,0,<.0001,0.95,46
1,5,Frond density (no. m-2) in May,FSC dry (kg m-2) in May,0.09922,0,<.0001,0.94,48
1,6,Frond density (no. m-2) in June,FSC dry (kg m-2) in June,0.09355,0,<.0001,0.93,48
1,7,Frond density (no. m-2) in July,FSC dry (kg m-2) in July,0.08648,0,<.0001,0.91,48
1,8,Frond density (no. m-2) in August,FSC dry (kg m-2) in August,0.08359,0,<.0001,0.87,48
1,9,Frond density (no. m-2) in September,FSC dry (kg m-2) in September,0.07447,0,<.0001,0.85,48
1,10,Frond density (no. m-2) in October,FSC dry (kg m-2) in October,0.072,0,<.0001,0.85,45
1,11,Frond density (no. m-2) in November,FSC dry (kg m-2) in November,0.06032,0,<.0001,0.93,48
1,12,Frond density (no. m-2) in December,FSC dry (kg m-2) in December,0.06594,0,<.0001,0.94,48
2,1,Frond density (no. m-2) in January,Canopy FSC dry (kg m-2) in January,0.02212,0,<.0001,0.77,41
2,2,Frond density (no. m-2) in February,Canopy FSC dry (kg m-2) in February,0.02904,0,<.0001,0.75,45
2,3,Frond density (no. m-2) in March,Canopy FSC dry (kg m-2) in March,0.03795,0,<.0001,0.83,45
2,4,Frond density (no. m-2) in April,Canopy FSC dry (kg m-2) in April,0.04858,0,<.0001,0.86,46
2,5,Frond density (no. m-2) in May,Canopy FSC dry (kg m-2) in May,0.05024,0,<.0001,0.85,48
2,6,Frond density (no. m-2) in June,Canopy FSC dry (kg m-2) in June,0.04472,0,<.0001,0.82,48
2,7,Frond density (no. m-2) in July,Canopy FSC dry (kg m-2) in July,0.03907,0,<.0001,0.78,48
2,8,Frond density (no. m-2) in August,Canopy FSC dry (kg m-2) in August,0.03561,0,<.0001,0.67,48
2,9,Frond density (no. m-2) in September,Canopy FSC dry (kg m-2) in September,0.02793,0,<.0001,0.55,48
2,10,Frond density (no. m-2) in October,Canopy FSC dry (kg m-2) in October,0.02317,0,<.0001,0.48,45
2,11,Frond density (no. m-2) in November,Canopy FSC dry (kg m-2) in November,0.01394,0,<.0001,0.53,48
2,12,Frond density (no. m-2) in December,Canopy FSC dry (kg m-2) in December,0.01714,0,<.0001,0.66,48
3,1,Frond density (no. m-2) in January,Water Column FSC dry (kg m-2) in January,0.04942,0,<.0001,1,41
3,2,Frond density (no. m-2) in February,Water Column FSC dry (kg m-2) in February,0.04674,0,<.0001,0.99,45
3,3,Frond density (no. m-2) in March,Water Column FSC dry (kg m-2) in March,0.04925,0,<.0001,0.99,45
3,4,Frond density (no. m-2) in April,Water Column FSC dry (kg m-2) in April,0.04783,0,<.0001,1,46
